43.168.16.112:443#CN [优选高速63ms]
47.239.4.246:8443#HK [优选高速62ms]
47.239.4.246:2053#HK [优选高速62ms]
47.239.4.246:443#HK [优选高速62ms]
43.218.77.16:443#ID [优选高速109ms]
154.31.117.200:443#JP [优选高速78ms]
52.196.133.194:443#JP [优选高速78ms]
54.238.157.207:443#JP [优选高速79ms]
154.12.191.211:443#JP [优选高速93ms]
129.154.53.255:443#KR [优选高速78ms]
43.200.87.5:443#KR [优选高速94ms]
92.38.190.44:443#RU [优选高速78ms]
3.1.116.161:2053#SG [优选高速94ms]
52.76.97.123:443#SG [优选高速94ms]
3.1.116.161:8443#SG [优选高速94ms]
45.76.185.254:8443#SG [优选高速94ms]
139.180.220.7:443#SG [优选高速109ms]
