103.57.251.124:443#AE [248.65ms]
109.61.42.37:443#AE [319.4ms]
147.78.0.186:2053#AE [359.95ms]
147.78.0.186:8443#AE [367.44ms]
38.54.8.167:443#AE [369.91ms]
193.123.74.174:8443#AE [393.78ms]
139.185.38.137:2053#AE [414.09ms]
38.180.11.15:443#AE [1227.93ms]
185.186.77.21:2053#AL [177.41ms]
185.186.77.21:8443#AL [250.18ms]
185.75.243.102:443#AL [328.04ms]
45.15.170.107:443#AL [1226.11ms]
167.17.184.67:8443#AL [1317.6ms]
185.234.57.153:443#AM [201.77ms]
185.234.57.134:443#AM [212.99ms]
213.159.76.175:443#AM [231.02ms]
185.234.57.233:443#AM [238.59ms]
178.160.230.144:443#AM [345.42ms]
149.33.19.136:2053#AR [383.76ms]
152.53.19.75:443#AT [优选高速 152.52ms]
185.175.58.196:443#AT [157.25ms]
132.243.203.237:8443#AT [176.25ms]
132.243.203.232:8443#AT [177.94ms]
132.243.203.218:8443#AT [180.19ms]
132.243.203.212:8443#AT [181.01ms]
132.243.203.205:8443#AT [181.09ms]
152.53.44.234:2053#AT [183.71ms]
104.143.0.117:8443#AT [183.82ms]
132.243.203.223:8443#AT [184.84ms]
209.38.23.235:443#AU [195.15ms]
209.38.82.114:443#AU [196.59ms]
170.64.163.39:443#AU [198.8ms]
209.38.22.182:443#AU [199.46ms]
170.64.232.210:443#AU [201.75ms]
207.211.157.214:443#AU [265.08ms]
168.138.15.48:443#AU [274.41ms]
139.180.172.252:443#AU [279.7ms]
168.138.15.142:8443#AU [296.33ms]
172.236.62.238:443#AU [309.71ms]
180.149.44.54:443#AZ [328.29ms]
180.149.44.124:8443#AZ [348.69ms]
45.8.147.11:443#BA [优选高速 280.92ms]
38.54.42.124:443#BD [368.5ms]
154.205.144.113:443#BD [369.29ms]
45.83.20.29:443#BE [150.36ms]
141.98.233.190:8443#BE [154.17ms]
113.30.152.144:443#BE [优选高速 198.27ms]
188.190.26.243:443#BE [212.66ms]
128.127.180.240:2053#BE [218.37ms]
194.87.240.67:443#BE [1166.52ms]
95.164.62.196:443#BE [1171.13ms]
104.152.48.205:8443#BG [186.21ms]
146.19.80.84:8443#BG [195.08ms]
185.206.146.190:8443#BG [201.46ms]
185.177.59.153:2053#BG [210.5ms]
185.205.210.144:443#BG [215.5ms]
193.37.212.56:2053#BG [215.7ms]
152.89.28.215:443#BG [225.0ms]
185.203.119.101:443#BG [231.29ms]
104.152.48.205:443#BG [235.03ms]
185.203.116.174:443#BG [256.11ms]
216.238.105.66:443#BR [362.71ms]
132.226.163.224:8443#BR [375.1ms]
132.226.163.224:2053#BR [380.98ms]
146.235.59.153:2053#BR [403.38ms]
146.235.59.153:8443#BR [406.25ms]
150.242.90.205:443#CA [200.57ms]
23.173.104.224:2053#CA [200.64ms]
23.173.104.225:2053#CA [201.88ms]
44.32.224.195:443#CA [205.32ms]
23.173.104.227:2053#CA [206.1ms]
23.173.104.226:2053#CA [209.07ms]
154.5.49.148:443#CA [216.25ms]
23.173.104.222:2053#CA [220.02ms]
23.173.104.239:2053#CA [222.91ms]
44.32.224.196:443#CA [222.94ms]
103.63.30.73:443#CH [178.95ms]
185.195.69.119:8443#CH [185.91ms]
185.195.69.200:8443#CH [189.87ms]
140.238.208.240:443#CH [190.1ms]
5.182.36.39:443#CH [191.06ms]
45.59.125.228:443#CH [192.63ms]
79.132.141.165:8443#CH [193.49ms]
45.59.123.147:443#CH [198.51ms]
185.195.69.119:2053#CH [200.61ms]
152.67.64.55:443#CH [203.78ms]
5.180.29.91:443#CL [1356.11ms]
64.176.4.154:8443#CL [1371.32ms]
64.176.11.9:8443#CL [1384.89ms]
183.156.221.185:8443#CN [53.21ms]
185.205.187.139:443#CY [278.4ms]
193.24.232.154:2053#CY [278.87ms]
193.201.15.39:443#CY [299.28ms]
185.253.46.31:443#CZ [197.57ms]
